iter	Logloss
0	0.658108495
1	0.6328806437
2	0.6102569871
3	0.5938256839
4	0.5798948178
5	0.5697130681
6	0.5625836862
7	0.5553767573
8	0.5487648714
9	0.5442500936
10	0.5409145031
11	0.5374763695
12	0.5347795935
13	0.5324837344
14	0.530558273
15	0.5291249578
16	0.5280297891
17	0.5278135516
18	0.5271111384
19	0.5262441104
20	0.5258761938
21	0.5253441171
22	0.5247608823
23	0.524560996
24	0.5242336727
25	0.5238403188
26	0.5231531295
27	0.5227668541
28	0.5221849101
29	0.5217504688
30	0.5212381033
31	0.5211066223
32	0.5207441004
33	0.5204777919
34	0.5200926888
35	0.5198923436
36	0.5197565329
37	0.5196283825
38	0.5195520362
39	0.5191789443
40	0.5189184409
41	0.5187967581
42	0.5186471109
43	0.5184310923
44	0.5180860881
45	0.517802529
46	0.5177325198
47	0.5177278046
48	0.5175865873
49	0.5173646356
50	0.5172434891
51	0.5169822182
52	0.5169081474
53	0.5168189576
54	0.5167334466
55	0.5166213699
56	0.5164876214
57	0.5163108263
58	0.516266094
59	0.5161256357
60	0.5161255958
61	0.5161119088
62	0.515896678
63	0.5158402764
64	0.5157744398
65	0.5156888419
66	0.5154757057
67	0.5154264783
68	0.5154032087
69	0.5153210698
70	0.5152876256
71	0.5151529479
72	0.5150797401
73	0.5149995035
74	0.514900982
75	0.5148153208
76	0.5147868857
77	0.5147555178
78	0.5146522026
79	0.5144232295
80	0.5143497287
81	0.5143497284
82	0.5142107701
83	0.5142029243
84	0.5142029242
85	0.5140815881
86	0.5139723071
87	0.5138784164
88	0.513872346
89	0.5136688098
90	0.513662668
91	0.5135500683
92	0.5134521522
93	0.5133310062
94	0.513143897
95	0.5130635589
96	0.5129986108
97	0.5129008974
98	0.5128346396
99	0.5127472007
100	0.5126555908
101	0.5125912423
102	0.5124581018
103	0.5123200055
104	0.5122619058
105	0.5120944242
106	0.5120698976
107	0.5118949549
108	0.5117055972
109	0.511621759
110	0.5115488603
111	0.5115178323
112	0.5114958802
113	0.5111785781
114	0.5109590806
115	0.5108917563
116	0.5108058818
117	0.5107819736
118	0.510700873
119	0.5105392728
120	0.5104609402
121	0.5103375244
122	0.5103048367
123	0.510221899
124	0.51018897
125	0.5100780659
126	0.5100162939
127	0.5098257771
128	0.5096540722
129	0.5095295898
130	0.5095140374
131	0.5094208496
132	0.5093901893
133	0.509189614
134	0.5091441303
135	0.5090435357
136	0.5088897718
137	0.5088465742
138	0.5087320534
139	0.5086776675
140	0.5084971067
141	0.508425613
142	0.5083841384
143	0.5082052444
144	0.5081235752
145	0.5080602733
146	0.5079991919
147	0.5078850104
148	0.5078468866
149	0.5078072816
150	0.5077099578
151	0.5074735084
152	0.5074584749
153	0.5073241486
154	0.5072852927
155	0.5072209507
156	0.5071172962
157	0.5070041363
158	0.5069402646
159	0.5068881651
160	0.5068418119
161	0.5067836577
162	0.5067358255
163	0.5065859168
164	0.5064749936
165	0.5063907755
166	0.5063257378
167	0.5062633239
168	0.5061889166
169	0.5061330453
170	0.5060389187
171	0.505914872
172	0.505883921
173	0.5058184628
174	0.5057623228
175	0.5057086697
176	0.5056623076
177	0.5056037728
178	0.5055222374
179	0.5054760886
180	0.5054162221
181	0.5053874129
182	0.5053050457
183	0.5052215133
184	0.5051648038
185	0.5050934332
186	0.5049479486
187	0.5048839524
188	0.5047949021
189	0.5047673387
190	0.5046382391
191	0.5045931259
192	0.5045057987
193	0.5044280082
194	0.5043672124
195	0.5043271004
196	0.5041971163
197	0.5041700553
198	0.5041120153
199	0.5040329108
200	0.5039677544
201	0.503831854
202	0.5036550869
203	0.5036173128
204	0.5035665279
205	0.5034399252
206	0.5033349894
207	0.5033079981
208	0.5030942921
209	0.5030587492
210	0.5030086029
211	0.5029239599
212	0.5028953853
213	0.5028657811
214	0.5027341645
215	0.5025806129
216	0.502498947
217	0.5024698664
218	0.5023466319
219	0.5022861416
220	0.5022277068
221	0.5022012488
222	0.5021024476
223	0.5020384678
224	0.5020021335
225	0.5019389407
226	0.5018852036
227	0.5018481716
228	0.5018035945
229	0.5017379735
230	0.5016526835
231	0.5015440494
